n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Ramp_02_038,532,42.204385,-83.359502,Txy_J7_007,695,42.204108,-83.359151
Rwy_04_05,404,42.217438,-83.335693,Rwy_04_010,403,42.21589,-83.336841
Txy_T5_001,458,42.200079,-83.351891,Txy_T5_W,679,42.199706,-83.351323
Txy_K_034,439,42.234151,-83.344674,Txy_K_033,438,42.234036,-83.345398
Txy_PP_018,716,42.206078,-83.347749,Txy_PP_206,495,42.206461,-83.347465
Txy_MM_003,479,42.229195,-83.339103,Parking_deice3_003,474,42.229174,-83.338322
Txy_Y1_001,213,42.202071,-83.370258,Rwy_02_002,234,42.20245,-83.371185
Spot_05B,303,42.213433,-83.356209,Ramp_02_007,558,42.213608,-83.356079
Rwy_04_010,403,42.21589,-83.336841,Rwy_05_017,395,42.217407,-83.338225
Ramp_02_015,550,42.209203,-83.359329,Ramp_02_016,549,42.208525,-83.359831
Rwy_06_008,336,42.199418,-83.337669,Rwy_06_009,337,42.199523,-83.332043
Txy_PP_107,502,42.20785,-83.348365,Txy_PP_407,500,42.208363,-83.347913
Txy_P4_003,424,42.221875,-83.339797,Rwy_03_206,364,42.222571,-83.340371
Rwy_06_005,332,42.199219,-83.350355,Rwy_06_04,333,42.199239,-83.349134
Rwy_04_111,510,42.218564,-83.334913,Rwy_04_05,404,42.217438,-83.335693
Txy_Y4_001,684,42.207193,-83.366472,Txy_Y4_Y,446,42.207046,-83.366129
Gate_A_061,86,42.213095,-83.354024,Ramp_02_057,571,42.212807,-83.353307
Gate_A_055,83,42.21151,-83.355221,Ramp_02_054,568,42.211232,-83.354458
Parking_08_005,637,42.221776,-83.360241,Ramp_08_005,638,42.221115,-83.360235
Txy_J7_004,692,42.205105,-83.358413,Spot_04A,297,42.205345,-83.358239
Txy_J7_105,456,42.202841,-83.360085,Circle_1S,167,42.202013,-83.360157
Ramp_02_009,556,42.212475,-83.356916,Ramp_02_008,557,42.213034,-83.356504
Txy_Z_001,207,42.218107,-83.361359,Txy_V_005,196,42.218132,-83.360844
Rwy_03_204,363,42.218405,-83.343447,Rwy_03_206,364,42.222571,-83.340371
Spot_05A,298,42.210158,-83.355251,Ramp_02_051,566,42.21027,-83.355173
Txy_U_006,283,42.215516,-83.35213,Txy_F_U,284,42.215529,-83.351303
Parking_08_020,658,42.234184,-83.336643,Ramp_Norht07_020,660,42.234038,-83.336205
Txy_W_011,384,42.215404,-83.339714,Txy_W_013,385,42.216572,-83.338908
Rwy_04_002,396,42.195721,-83.35173,Rwy_04_003,398,42.198316,-83.349828
Ramp_02_027,541,42.203372,-83.363622,Ramp_02_026,542,42.203697,-83.363378
Parking_deice3_001,472,42.228437,-83.338778,Txy_M_101,710,42.228129,-83.337953
Txy_P_002,428,42.224913,-83.336978,Txy_P4_002,423,42.221508,-83.339482
Txy_T_T6,311,42.200758,-83.35656,Txy_T6_001,457,42.199931,-83.355428
Gate_A_030,49,42.206494,-83.360006,Ramp_02_019,547,42.206929,-83.361006
Txy_Y12_001,232,42.222268,-83.355379,Txy_Y_025,223,42.222209,-83.354984
Ramp_02_038,532,42.204385,-83.359502,Ramp_02_039,531,42.204749,-83.359244
Ramp_04_036,577,42.212859,-83.357671,Gate_C_037,126,42.213199,-83.35849
Spot_08A,301,42.212841,-83.352735,Txy_J7_018,704,42.213044,-83.352603
Ramp_04_014,614,42.211238,-83.36192,Txy_K_009,265,42.211091,-83.362025
Txy_T8_002,454,42.199845,-83.361567,Rwy_06_002,328,42.199039,-83.361543
Txy_T_002,292,42.20172,-83.368904,Txy_Q_T,179,42.201329,-83.366146
Txy_Y16_0,233,42.229212,-83.350243,Txy_Y_Y33,226,42.229079,-83.349897
Txy_F_014,359,42.206988,-83.335903,Txy_F_015,360,42.206998,-83.3345
Ramp_02_042,528,42.205663,-83.358566,Spot_04A,297,42.205345,-83.358239
Txy_A5_101,444,42.207955,-83.36837,Txy_A_007,187,42.210718,-83.375184
Ramp_02_029,540,42.202485,-83.363487,Gate_A_004,58,42.202721,-83.362831
Txy_J11_010,719,42.204925,-83.364438,Txy_J11_011,720,42.204575,-83.364697
Txy_J7_017,703,42.211821,-83.353467,Txy_J7_016,702,42.211483,-83.353717
Txy_Y_014,219,42.215439,-83.359942,Txy_K_K10,279,42.215404,-83.358882
Gate_C_002,109,42.209485,-83.361026,Ramp_03_017,593,42.208934,-83.360561
Ramp_04_031,581,42.211695,-83.358519,Ramp_04_030,582,42.211485,-83.35868
Txy_K2_003,468,42.205205,-83.36398,Txy_Q_206,726,42.205063,-83.363404
Ramp_01_205,150,42.220976,-83.352081,Ramp_01_105,154,42.220658,-83.352664
Parking_deice3_004,475,42.229559,-83.338077,Txy_M_015,418,42.229107,-83.337228
Txy_T3_001,339,42.200181,-83.340396,Rwy_06_007,335,42.199364,-83.341459
Txy_S5_002,520,42.212814,-83.334341,Rwy_04_010,403,42.21589,-83.336841
Txy_A_002,170,42.202551,-83.38124,Txy_A_004,185,42.205191,-83.379266
Gate_B_011,140,42.208025,-83.362335,Ramp_03_013,598,42.207748,-83.361433
Txy_K_029,434,42.226733,-83.350504,Txy_Y_032,225,42.227093,-83.351353
Ramp_02_039,531,42.204749,-83.359244,Ramp_02_040,530,42.205053,-83.359016
Ramp_03_012,599,42.207399,-83.361687,Spot_04B,304,42.207715,-83.361453
Ramp_02_041,529,42.205355,-83.358795,Gate_A_023,71,42.205679,-83.359536
Rwy_02_008,239,42.217648,-83.359998,Rwy_02_108,672,42.21814,-83.359628
Txy_Z_015,245,42.228035,-83.354094,Txy_Z14_Z,675,42.226722,-83.355
