n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_M_M1,64,42.927981,-71.445979,Txy_M_002,127,42.927058,-71.441929
Txy_E_013,57,42.926354,-71.433438,Parking_E_003,61,42.925212,-71.432754
Rwy_01_009,68,42.921786,-71.427791,Rwy_01_010,71,42.920674,-71.427141
Txy_H_F,102,42.925778,-71.428526,Txy_H_E,42,42.927931,-71.429769
Txy_N_001,140,42.925617,-71.440025,Txy_M_N,129,42.925337,-71.440868
Txy_M_003,126,42.926308,-71.441445,Txy_M_004,128,42.925672,-71.441063
Gate_01_004,115,42.926449,-71.439809,Txy_N_001,140,42.925617,-71.440025
Rwy_01_004,28,42.935951,-71.436165,Txy_B_003,29,42.936221,-71.435321
Rwy_02_005,9,42.936918,-71.438387,Txy_A_001,8,42.936154,-71.437915
Txy_H_E,42,42.927931,-71.429769,Txy_E_012,38,42.927766,-71.430276
Rwy_01_003,11,42.937048,-71.436809,Rwy_01_004,28,42.935951,-71.436165
Rwy_01_006,36,42.929942,-71.432596,Txy_D_001,35,42.929665,-71.433458
Txy_A_A1,70,42.921353,-71.42917,Txy_A_P,76,42.919398,-71.428893
Txy_P_001,74,42.919177,-71.42838,Txy_A_P,76,42.919398,-71.428893
Txy_H_001,22,42.942118,-71.438165,Txy_H_003,19,42.941126,-71.43721
Txy_F_002,53,42.92533,-71.428849,Txy_H_F,102,42.925778,-71.428526
Txy_E_011,39,42.927208,-71.432008,Txy_A_E,41,42.927045,-71.432521
Txy_C_003,46,42.933074,-71.432303,Parking_C_001,47,42.933249,-71.431745
Txy_N_005,132,42.926495,-71.43726,Txy_N_004,130,42.926305,-71.437834
Ramp_02_004,88,42.923312,-71.441789,Gate_02_005,86,42.922899,-71.442401
Txy_M_001,1,42.928804,-71.447204,Txy_M_M1,64,42.927981,-71.445979
Rwy_01_008,52,42.925059,-71.429726,Rwy_01_009,68,42.921786,-71.427791
Ramp_02_008,95,42.924361,-71.439733,Gate_02_009,96,42.924062,-71.439554
Txy_E_008,63,42.925792,-71.436427,Parking_E_001,62,42.925473,-71.436221
Ramp_02_005,90,42.923805,-71.441465,Gate_02_006,89,42.923536,-71.441308
Txy_L_001,25,42.941991,-71.436636,Parking_L_001,23,42.942832,-71.43646
Txy_J_001,16,42.942826,-71.429462,Txy_J_J1,17,42.942072,-71.430313
Txy_H_D,43,42.93038,-71.431224,Txy_H_E,42,42.927931,-71.429769
Txy_B_001,6,42.93517,-71.439275,Txy_A_B,26,42.935514,-71.437542
