n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_AA_001,349,40.502265,-80.235874,Rwy_01_008,7,40.50141,-80.235949
Parking_deice2_002,116,40.491303,-80.237501,Txy_E_005,310,40.490608,-80.23753
Ramp_01_007,125,40.497992,-80.250652,Ramp_01_008,126,40.497444,-80.250011
Ramp_01_008,126,40.497444,-80.250011,Txy_Y1_101,372,40.497152,-80.250517
Parking_deice2_003,117,40.491286,-80.236994,Txy_E_006,311,40.490593,-80.236994
Txy_V4_002,292,40.494553,-80.24153,Txy_V4_001,291,40.494524,-80.240647
Txy_V4_002,292,40.494553,-80.24153,Txy_V4_003,293,40.494596,-80.242297
Txy_V_006,290,40.494508,-80.239809,Txy_V_005,289,40.494094,-80.239822
Txy_B_014,219,40.500348,-80.237114,Parking_deice_002,112,40.499795,-80.237137
Ramp_05_020,183,40.497262,-80.245981,Gate_A_001,110,40.496728,-80.245437
Rwy_02_010,18,40.489046,-80.214326,Rwy_02_011,19,40.488953,-80.2114
Txy_C_004,224,40.499848,-80.244445,Txy_C_003,223,40.499944,-80.247353
Txy_Y2_003,358,40.493521,-80.250587,Ramp_02_004,135,40.49297,-80.249944
Gate_A_016,94,40.497664,-80.242495,Ramp_05_004,167,40.497008,-80.242486
Ramp_03_004,144,40.492772,-80.244551,Ramp_03_005,145,40.49248,-80.244191
Txy_E_002,314,40.490782,-80.243717,Txy_D_002,270,40.491466,-80.243675
Txy_N_E,250,40.490027,-80.215432,Txy_N_009,251,40.489785,-80.215152
Txy_V4_012,302,40.496604,-80.240283,Txy_V_007,304,40.496592,-80.239713
Txy_B_007,212,40.500637,-80.247305,Txy_B_008,213,40.500578,-80.245596
Txy_B_017,222,40.500276,-80.233684,Txy_N_002,244,40.50023,-80.231749
Ramp_09_002,348,40.503411,-80.235814,Txy_A_003,343,40.503102,-80.235812
Txy_T_002,276,40.490465,-80.238674,Txy_T_E,286,40.490645,-80.238755
Rwy_03_005,25,40.486013,-80.224221,Rwy_03_006,26,40.485774,-80.215103
Txy_F_W,188,40.488267,-80.247624,Txy_W_001,257,40.487434,-80.247668
Ramp_03_004,144,40.492772,-80.244551,Gate_B_036,67,40.493312,-80.243776
Rwy_03_007,27,40.485764,-80.21457,Rwy_03_008,28,40.485689,-80.211962
Txy_F_008,191,40.48789,-80.233238,Txy_F4_001,330,40.487161,-80.232411
Txy_C2_003,368,40.499007,-80.244769,Txy_C2_004,369,40.499263,-80.244453
Txy_F_P,195,40.487471,-80.216689,Txy_F_011,194,40.487625,-80.222868
Txy_B_015,220,40.500338,-80.236622,Txy_B_014,219,40.500348,-80.237114
Rwy_01_005,4,40.501906,-80.254365,Rwy_01_006,5,40.501877,-80.250644
Gate_B_046,72,40.4928,-80.241677,Ramp_03_009,149,40.492101,-80.241608
Gate_A_010,91,40.497042,-80.243616,Ramp_05_002,165,40.496633,-80.24309
Txy_B2_001,240,40.50064,-80.236,Txy_B_016,221,40.500326,-80.23599
Txy_V_007,304,40.496592,-80.239713,Txy_V_006,290,40.494508,-80.239809
Txy_C3_003,363,40.498841,-80.2468,Ramp_01_004,122,40.498455,-80.247348
Ramp_03_002,142,40.493347,-80.245258,Ramp_03_003,143,40.493063,-80.244906
Txy_V2_002,306,40.497031,-80.240261,Txy_V_008,305,40.497014,-80.23969
Gate_B_048,75,40.493312,-80.241375,Ramp_03_012,152,40.49352,-80.240677
Gate_B_031,84,40.494795,-80.244447,Ramp_03_020,160,40.495219,-80.243869
Txy_N_001,243,40.500712,-80.232866,Txy_N_002,244,40.50023,-80.231749
Txy_D3_003,273,40.491604,-80.248803,Txy_D3_004,274,40.490904,-80.248795
Rwy_02_006,14,40.489379,-80.227205,Txy_S_001,325,40.48859,-80.227929
Txy_C_007,227,40.499692,-80.238619,Txy_C_008,228,40.499155,-80.238666
Txy_V4_004,294,40.494928,-80.242827,Ramp_03_018,158,40.494668,-80.243198
Txy_E_004,309,40.490626,-80.238107,Txy_E_005,310,40.490608,-80.23753
Ramp_03_002,142,40.493347,-80.245258,Gate_B_032,65,40.493895,-80.244478
Txy_V2_001,303,40.497036,-80.240493,Txy_V2_002,306,40.497031,-80.240261
Ramp_03_006,146,40.492148,-80.243252,Ramp_03_007,147,40.492133,-80.242749
Txy_V4_003,293,40.494596,-80.242297,Ramp_03_016,156,40.494207,-80.242612
Txy_B_004,207,40.500154,-80.259506,Txy_C_001,208,40.500071,-80.252214
Txy_T_007,281,40.496981,-80.238792,Txy_T_006,280,40.496536,-80.23881
Txy_W_006,262,40.49273,-80.246886,Ramp_02_006,137,40.493137,-80.247395
Txy_T_006,280,40.496536,-80.23881,Txy_T_005,279,40.494468,-80.238894
Txy_C3_002,362,40.4991,-80.247111,Txy_C3_003,363,40.498841,-80.2468
Txy_C_002,209,40.499984,-80.248397,Ramp_01_006,124,40.499466,-80.248586
Txy_F5_001,283,40.487318,-80.238702,Rwy_03_003,23,40.486318,-80.236224
Ramp_02_004,135,40.49297,-80.249944,Txy_D3_001,268,40.492036,-80.24885
Ramp_05_011,174,40.499089,-80.241502,Gate_A_021,381,40.49836,-80.241517
Txy_F2_001,332,40.487019,-80.22635,Rwy_03_005,25,40.486013,-80.224221
Txy_F_P,195,40.487471,-80.216689,Txy_P_006,203,40.486679,-80.215706
Ramp_05_017,180,40.498322,-80.24466,Gate_A_009,106,40.49779,-80.24402
Txy_E_Q,318,40.490285,-80.22129,Txy_P_Q,197,40.490841,-80.220398
Rwy_03_004,24,40.486194,-80.231072,Txy_F3_001,331,40.487085,-80.229642
Ramp_05_012,175,40.499092,-80.241848,Gate_A_019,101,40.498382,-80.241835
Ramp_02_005,136,40.492478,-80.248312,Txy_W_005,261,40.492004,-80.247726
Ramp_01_006,124,40.499466,-80.248586,Ramp_01_007,125,40.497992,-80.250652
Txy_E_W,255,40.49088,-80.247772,Txy_W_004,260,40.490595,-80.247783
Txy_E_003,308,40.499038,-80.239574,Txy_C_006,226,40.499721,-80.239534
Txy_C2_004,369,40.499263,-80.244453,Txy_C_004,224,40.499848,-80.244445
Gate_B_038,68,40.493008,-80.243442,Ramp_03_005,145,40.49248,-80.244191
Txy_C3_004,364,40.498332,-80.245978,Ramp_01_002,120,40.49788,-80.246543
Txy_F_009,192,40.487763,-80.227963,Txy_F3_001,331,40.487085,-80.229642
Parking_09_001,346,40.50445,-80.239183,Ramp_09_001,345,40.503182,-80.239208
Txy_S_001,325,40.48859,-80.227929,Txy_F_009,192,40.487763,-80.227963
Txy_B_012,217,40.500379,-80.238592,Txy_C_007,227,40.499692,-80.238619
Txy_C2_002,367,40.498734,-80.245157,Txy_C2_003,368,40.499007,-80.244769
Parking_deice_002,112,40.499795,-80.237137,Txy_C_010,230,40.499209,-80.237171
Txy_BB_002,379,40.500871,-80.256669,Txy_BB_001,378,40.500813,-80.253331
Ramp_03_021,161,40.495703,-80.244056,Ramp_04_001,163,40.496129,-80.243796
Rwy_02_04,9,40.489093,-80.216226,Rwy_02_009,17,40.489159,-80.218766
Txy_Q_002,335,40.490049,-80.221575,Txy_E_Q,318,40.490285,-80.22129
Txy_A_003,343,40.503102,-80.235812,Txy_AA_001,349,40.502265,-80.235874
Gate_B_039,80,40.493646,-80.243112,Ramp_03_016,156,40.494207,-80.242612
Rwy_01_005,4,40.501906,-80.254365,Txy_B5_001,237,40.501105,-80.253604
Rwy_02_004,12,40.48967,-80.238538,Txy_T_002,276,40.490465,-80.238674
Txy_B_003,206,40.50025,-80.263905,Txy_B_004,207,40.500154,-80.259506
Ramp_05_010,173,40.49906,-80.240387,Txy_V1_001,307,40.499055,-80.24015
Txy_D3_004,274,40.490904,-80.248795,Txy_E_W,255,40.49088,-80.247772
Txy_W_006,262,40.49273,-80.246886,Txy_W_007,263,40.493092,-80.246182
Rwy_01_002,1,40.502184,-80.26385,Rwy_01_001,0,40.502351,-80.271059
Ramp_02_008,139,40.494278,-80.246148,Ramp_02_009,140,40.493689,-80.246295
Txy_C2_004,369,40.499263,-80.244453,Ramp_05_015,178,40.49884,-80.243948
Ramp_05_006,169,40.497062,-80.241614,Txy_V4_011,301,40.496649,-80.241653
Ramp_05_003,166,40.496863,-80.242764,Ramp_05_004,167,40.497008,-80.242486
Txy_P_Q,197,40.490841,-80.220398,Txy_Q_003,336,40.491035,-80.220126
Txy_A_001,341,40.502183,-80.233629,Txy_A_002,342,40.502961,-80.23433
Ramp_03_003,143,40.493063,-80.244906,Ramp_03_004,144,40.492772,-80.244551
Txy_B_012,217,40.500379,-80.238592,Txy_B_011,216,40.500408,-80.239499
Txy_W_007,263,40.493092,-80.246182,Ramp_03_001,141,40.493593,-80.245756
Txy_P_101,339,40.496468,-80.223992,Rwy_04_007,36,40.495935,-80.224767
Txy_N_007,249,40.492399,-80.218144,Txy_N_E,250,40.490027,-80.215432
Txy_V4_010,300,40.496638,-80.242304,Txy_V4_011,301,40.496649,-80.241653
Txy_D3_003,273,40.491604,-80.248803,Txy_D3_001,268,40.492036,-80.24885
Txy_Y1_001,350,40.497679,-80.251148,Txy_Y1_101,372,40.497152,-80.250517
Txy_C2_003,368,40.499007,-80.244769,Ramp_05_016,179,40.498598,-80.244281
Txy_W_D,256,40.491568,-80.247741,Txy_W_005,261,40.492004,-80.247726
Txy_C3_004,364,40.498332,-80.245978,Ramp_01_001,119,40.497779,-80.245994
Gate_A_006,89,40.496554,-80.244334,Ramp_04_001,163,40.496129,-80.243796
Txy_E_012,319,40.490269,-80.219177,Rwy_04_003,32,40.49024,-80.217665
Txy_B_009,214,40.500536,-80.244426,Txy_C_004,224,40.499848,-80.244445
Ramp_05_013,176,40.499108,-80.242469,Gate_A_017,102,40.498389,-80.242474
Txy_P_001,196,40.495393,-80.225563,Txy_P_002,199,40.495199,-80.225837
Txy_B_008,213,40.500578,-80.245596,Txy_B3_001,239,40.500888,-80.246379
Txy_B_009,214,40.500536,-80.244426,Txy_B_010,215,40.5005,-80.243395
Ramp_01_010,128,40.496573,-80.248975,Gate_D_083,47,40.497115,-80.248234
Txy_N_011,253,40.487301,-80.211031,Txy_N_012,254,40.486472,-80.210738
Ramp_03_016,156,40.494207,-80.242612,Gate_B_041,79,40.493538,-80.242572
Rwy_01_003,2,40.502057,-80.25956,Txy_B7_001,235,40.501215,-80.258581
Txy_V4_002,292,40.494553,-80.24153,Ramp_03_014,154,40.494142,-80.241544
Txy_V4_003,293,40.494596,-80.242297,Txy_V4_004,294,40.494928,-80.242827
Txy_C_006,226,40.499721,-80.239534,Txy_C_007,227,40.499692,-80.238619
Ramp_03_020,160,40.495219,-80.243869,Ramp_03_019,159,40.494927,-80.24352
Txy_V4_003,293,40.494596,-80.242297,Ramp_03_015,155,40.494153,-80.242082
Rwy_02_04,9,40.489093,-80.216226,Rwy_02_010,18,40.489046,-80.214326
Txy_W_010,266,40.492389,-80.245089,Txy_W_011,267,40.492082,-80.244746
Txy_V_E,287,40.49068,-80.239973,Txy_T_E,286,40.490645,-80.238755
Txy_Y1_002,351,40.49771,-80.252267,Txy_Y_001,352,40.496547,-80.252376
Rwy_02_011,19,40.488953,-80.2114,Rwy_02_012,20,40.4889,-80.209395
Ramp_01_008,126,40.497444,-80.250011,Gate_D_087,45,40.497594,-80.248884
Txy_T_008,282,40.498966,-80.238674,Txy_E_003,308,40.499038,-80.239574
Txy_E_006,311,40.490593,-80.236994,Txy_E_007,312,40.490578,-80.236135
Rwy_02_005,13,40.489523,-80.232989,Rwy_02_004,12,40.48967,-80.238538
Ramp_10_001,360,40.492364,-80.236648,Txy_TT_001,376,40.491854,-80.236971
Rwy_02_009,17,40.489159,-80.218766,Txy_P_004,201,40.489991,-80.21959
Ramp_01_003,121,40.498115,-80.24693,Txy_C3_005,365,40.498505,-80.246395
Txy_Y2_001,356,40.495319,-80.24976,Ramp_02_002,133,40.494903,-80.249271
Txy_B_010,215,40.5005,-80.243395,Txy_B_011,216,40.500408,-80.239499
Ramp_01_003,121,40.498115,-80.24693,Ramp_01_002,120,40.49788,-80.246543
Ramp_05_002,165,40.496633,-80.24309,Txy_V4_009,299,40.496356,-80.242744
Txy_N_004,246,40.496769,-80.223694,Txy_P_101,339,40.496468,-80.223992
Rwy_03_005,25,40.486013,-80.224221,Txy_F1_001.,333,40.486812,-80.223611
Txy_P_E,198,40.49028,-80.219864,Txy_E_012,319,40.490269,-80.219177
Txy_B_011,216,40.500408,-80.239499,Txy_C_006,226,40.499721,-80.239534
Ramp_02_003,134,40.493974,-80.250708,Gate_C_060,55,40.493976,-80.249028
Txy_V4_005,295,40.49518,-80.243147,Txy_V4_006,296,40.495574,-80.243567
Rwy_04_004,33,40.491584,-80.219338,Txy_Q_003,336,40.491035,-80.220126
Txy_W_011,267,40.492082,-80.244746,Txy_D_001,269,40.491488,-80.244764
Gate_D_078,38,40.497121,-80.246958,Ramp_01_001,119,40.497779,-80.245994
Txy_B_015,220,40.500338,-80.236622,Parking_deice_003,113,40.499782,-80.236658
Ramp_02_001,132,40.495247,-80.248782,Ramp_02_002,133,40.494903,-80.249271
Txy_T_D,272,40.491302,-80.239029,Txy_T_E,286,40.490645,-80.238755
Txy_F_010,193,40.487722,-80.226475,Txy_R_001,326,40.488525,-80.225464
Ramp_03_021,161,40.495703,-80.244056,Txy_V4_006,296,40.495574,-80.243567
Txy_B_017,222,40.500276,-80.233684,Txy_B_016,221,40.500326,-80.23599
Txy_C_003,223,40.499944,-80.247353,Txy_C_002,209,40.499984,-80.248397
Txy_V4_007,297,40.495865,-80.243443,Txy_V4_008,298,40.496108,-80.2431
Ramp_02_004,135,40.49297,-80.249944,Gate_C_061,56,40.493526,-80.248889
Ramp_01_012,130,40.495894,-80.248582,Ramp_01_013,131,40.495845,-80.247943
Gate_A_002,87,40.49606,-80.244987,Ramp_03_022,162,40.495716,-80.244568
Txy_C_012,232,40.499205,-80.235884,Txy_C_011,231,40.499204,-80.23669
Gate_A_004,88,40.496322,-80.244639,Ramp_03_021,161,40.495703,-80.244056
Parking_deice_004,114,40.499769,-80.235841,Txy_C_012,232,40.499205,-80.235884
Txy_Q_001,334,40.488434,-80.222574,Txy_F_011,194,40.487625,-80.222868
Txy_N_005,247,40.495344,-80.221788,Txy_N_006,248,40.493498,-80.219495
Ramp_02_005,136,40.492478,-80.248312,Ramp_02_006,137,40.493137,-80.247395
Txy_W_011,267,40.492082,-80.244746,Ramp_03_005,145,40.49248,-80.244191
Ramp_01_002,120,40.49788,-80.246543,Gate_D_080,39,40.497339,-80.24735
Txy_Y2_002,357,40.49447,-80.250942,Ramp_02_003,134,40.493974,-80.250708
Ramp_04_001,163,40.496129,-80.243796,Ramp_05_001,164,40.496377,-80.243441
Txy_C_011,231,40.499204,-80.23669,Txy_C_010,230,40.499209,-80.237171
Txy_V_001,284,40.488907,-80.240053,Txy_F_006,189,40.488072,-80.240098
Ramp_05_019,182,40.497862,-80.245387,Ramp_05_018,181,40.498079,-80.244999
Txy_F_W,188,40.488267,-80.247624,Txy_F_004,187,40.488282,-80.248212
Txy_C_013,233,40.499616,-80.233718,Txy_B_017,222,40.500276,-80.233684
Rwy_01_004,3,40.50195,-80.255689,Rwy_01_005,4,40.501906,-80.254365
Ramp_09_001,345,40.503182,-80.239208,Txy_A_004,344,40.503119,-80.236375
Txy_BB_001,378,40.500813,-80.253331,Txy_B_005,210,40.500768,-80.252215
Txy_B_014,219,40.500348,-80.237114,Txy_B_013,218,40.500357,-80.23769
Txy_B_004,207,40.500154,-80.259506,Txy_B_104,370,40.500903,-80.257595
Rwy_01_006,5,40.501877,-80.250644,Rwy_01_007,6,40.501772,-80.247126
Txy_Y2_002,357,40.49447,-80.250942,Txy_Y2_001,356,40.495319,-80.24976
Txy_E_R,317,40.490244,-80.223272,Txy_E_009,316,40.490396,-80.229175
Txy_N_003,245,40.499648,-80.230388,Txy_C_013,233,40.499616,-80.233718
Ramp_02_002,133,40.494903,-80.249271,Ramp_02_003,134,40.493974,-80.250708
Txy_P_003,200,40.49168,-80.221442,Txy_E_R,317,40.490244,-80.223272
Gate_C_057,58,40.493688,-80.248082,Ramp_02_006,137,40.493137,-80.247395
Txy_E_007,312,40.490578,-80.236135,Parking_deice2_004,118,40.491263,-80.236128
Rwy_04_004,33,40.491584,-80.219338,Rwy_04_003,32,40.49024,-80.217665
Txy_V_005,289,40.494094,-80.239822,Txy_V_004,288,40.492053,-80.239916
Ramp_03_019,159,40.494927,-80.24352,Txy_V4_005,295,40.49518,-80.243147
Txy_E_013,320,40.490183,-80.216136,Txy_N_E,250,40.490027,-80.215432
Ramp_01_011,129,40.496299,-80.248715,Ramp_01_012,130,40.495894,-80.248582
Txy_C3_005,365,40.498505,-80.246395,Txy_C3_004,364,40.498332,-80.245978
Txy_F_003,186,40.488343,-80.251193,Txy_F_004,187,40.488282,-80.248212
Ramp_05_016,179,40.498598,-80.244281,Gate_A_011,105,40.498058,-80.243594
Ramp_03_020,160,40.495219,-80.243869,Ramp_03_021,161,40.495703,-80.244056
Ramp_03_008,148,40.492114,-80.242186,Ramp_03_009,149,40.492101,-80.241608
Txy_Y1_003,354,40.496193,-80.2495,Txy_Y1_102,373,40.496543,-80.249851
Ramp_05_019,182,40.497862,-80.245387,Gate_A_005,108,40.497274,-80.244702
Txy_T_004,278,40.494048,-80.23891,Txy_T_005,279,40.494468,-80.238894
Txy_F_001,184,40.487516,-80.251709,Txy_F_002,185,40.488063,-80.251657
Txy_B_005,210,40.500768,-80.252215,Txy_C_001,208,40.500071,-80.252214
Ramp_01_013,131,40.495845,-80.247943,Gate_C_052,51,40.495383,-80.247284
Rwy_03_004,24,40.486194,-80.231072,Rwy_03_003,23,40.486318,-80.236224
Gate_B_037,81,40.493973,-80.243485,Ramp_03_017,157,40.494396,-80.242857
Txy_Q_002,335,40.490049,-80.221575,Rwy_02_008,16,40.489259,-80.222537
Parking_09_002,347,40.504408,-80.235831,Ramp_09_002,348,40.503411,-80.235814
Txy_T_004,278,40.494048,-80.23891,Txy_T_003,277,40.49203,-80.239005
Txy_F_006,189,40.488072,-80.240098,Txy_F5_001,283,40.487318,-80.238702
Ramp_05_014,177,40.499132,-80.243346,Gate_A_015,103,40.498398,-80.242949
Txy_BB_003,380,40.500741,-80.24963,Txy_B4_001,238,40.501034,-80.249914
Parking_deice2_004,118,40.491263,-80.236128,Txy_TT_001,376,40.491854,-80.236971
Txy_T_E,286,40.490645,-80.238755,Txy_E_004,309,40.490626,-80.238107
Gate_B_045,77,40.493564,-80.24171,Ramp_03_014,154,40.494142,-80.241544
Txy_T_006,280,40.496536,-80.23881,Txy_V_007,304,40.496592,-80.239713
Ramp_05_018,181,40.498079,-80.244999,Ramp_05_017,180,40.498322,-80.24466
Ramp_02_006,137,40.493137,-80.247395,Ramp_02_007,138,40.493471,-80.246914
Txy_N1_001,338,40.487355,-80.212586,Txy_N_011,253,40.487301,-80.211031
Txy_W_003,259,40.489912,-80.247706,Rwy_02_001,10,40.489874,-80.246234
Ramp_05_015,178,40.49884,-80.243948,Ramp_05_016,179,40.498598,-80.244281
