n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_C_P,100,37.730603,-122.2194,Txy_P_001,106,37.73029,-122.219292
Rwy_02_005,23,37.726099,-122.217845,Rwy_02_006,24,37.728404,-122.224995
Rwy_04_003,35,37.736415,-122.22145,Txy_M_002,173,37.736667,-122.220925
Txy_C_P,100,37.730603,-122.2194,Txy_C_004,101,37.730354,-122.218639
Txy_T_004,55,37.710156,-122.217549,Txy_T_003,54,37.709836,-122.217027
Rwy_03_002,27,37.726346,-122.209441,Rwy_03_001,26,37.724861,-122.204837
Txy_B_007,66,37.721712,-122.206809,Txy_B_006,65,37.719799,-122.212679
Txy_W_003,40,37.703965,-122.214162,Txy_U_W,41,37.706619,-122.218167
Parking_08_002,11,37.729624,-122.212104,Ramp_08_002,151,37.729011,-122.212651
Rwy_02_001,19,37.72232,-122.206139,Txy_B_007,66,37.721712,-122.206809
Ramp_05_001,146,37.719349,-122.209417,Parking_05_001,147,37.719303,-122.208407
Txy_H_001,109,37.728574,-122.214039,Rwy_03_004,29,37.727938,-122.214361
Ramp_01_001,4,37.713256,-122.216814,Ramp_01_002,2,37.712536,-122.216832
Txy_A_004,74,37.724797,-122.203962,Txy_A_005,75,37.725309,-122.20394
Rwy_03_001,26,37.724861,-122.204837,Txy_B_010,6,37.725576,-122.204734
Ramp_02_001,165,37.710385,-122.213358,Gate_02_023,130,37.710926,-122.212782
Txy_M_001,91,37.736143,-122.221968,Rwy_04_003,35,37.736415,-122.22145
Txy_D_004,115,37.735191,-122.218044,Ramp_07_001,149,37.735406,-122.217652
Txy_D_002,113,37.739796,-122.221772,Txy_D_003,114,37.737261,-122.219754
Txy_N_001,89,37.736763,-122.225586,Txy_N_002,90,37.73581,-122.225242
Ramp_01_003,157,37.712168,-122.216849,Gate_01_14A,124,37.711561,-122.216041
Txy_N_001,89,37.736763,-122.225586,Txy_N_003,94,37.738881,-122.224979
Txy_J_003,80,37.7294,-122.221411,Rwy_03_006,31,37.729746,-122.219967
Txy_G_003,120,37.728174,-122.21282,Rwy_03_003,28,37.727443,-122.212837
Txy_A_006,76,37.725563,-122.204341,Txy_A_007,77,37.725881,-122.205278
Txy_W_V,43,37.711725,-122.225826,Txy_W_005,44,37.713165,-122.227996
Txy_T_006,57,37.712204,-122.220799,Txy_T_005,56,37.710564,-122.218274
Txy_J_P,81,37.729913,-122.219164,Rwy_03_005,30,37.729426,-122.218966
Txy_C_004,101,37.730354,-122.218639,Txy_J_C,83,37.730171,-122.218061
Txy_F_001,174,37.729614,-122.221933,Txy_J_002,79,37.729298,-122.221844
Txy_C_H,102,37.728827,-122.213907,Txy_H_001,109,37.728574,-122.214039
Txy_T_B,58,37.713115,-122.222163,Txy_W_004,42,37.710861,-122.224538
Txy_V_102,69,37.713555,-122.22287,Txy_T_B,58,37.713115,-122.222163
Txy_Q_001,93,37.731653,-122.222679,Txy_Q_002,92,37.731384,-122.22256
Txy_U_001,49,37.706255,-122.2197,Txy_U_101,68,37.706282,-122.218785
