id,index,lat,lon,yEdId,domain,refName1,type1,refName2,type2
Rwy_01_02,0,45.58943,-122.606797,n0,Rwy,,,,
Rwy_01_001,1,45.595074,-122.621306,n1,Rwy,RW10R,Entry,RW28L,End
Rwy_01_002,2,45.592171,-122.613846,n2,Rwy,,,,
Rwy_01_003,3,45.588878,-122.605389,n3,Rwy,,,,
Rwy_01_004,4,45.587505,-122.601855,n4,Rwy,,,,
Rwy_01_005,5,45.586352,-122.598907,n5,Rwy,,,,
Rwy_01_006,6,45.585942,-122.597852,n6,Rwy,,,,
Rwy_01_007,7,45.58375,-122.592214,n7,Rwy,,,,
Rwy_01_008,8,45.580577,-122.584074,n8,Rwy,RW28L,Entry,RW10R,End
Rwy_02_001,9,45.595836,-122.597701,n9,Rwy,,,,
Rwy_02_002,10,45.594658,-122.599365,n10,Rwy,RW21 ,Entry,RW03 ,End
Rwy_02_003,11,45.591382,-122.604049,n11,Rwy,,,,
Rwy_02_004,12,45.590465,-122.605352,n12,Rwy,,,,
Rwy_02_005,13,45.58999,-122.606025,n13,Rwy,,,,
Rwy_02_006,14,45.588884,-122.607609,n14,Rwy,,,,
Rwy_02_007,15,45.588629,-122.607969,n15,Rwy,,,,
Rwy_02_008,16,45.586974,-122.610331,n16,Rwy,,,,
Rwy_02_009,17,45.586404,-122.611141,n17,Rwy,,,,
Rwy_02_010,18,45.58252,-122.616674,n18,Rwy,RW03 ,Entry,RW21 ,End
Rwy_03_001,19,45.594726,-122.59544,n19,Rwy,RW10L,Entry,RW28R,End
Rwy_03_002,20,45.592088,-122.58866,n20,Rwy,,,,
Rwy_03_003,21,45.590251,-122.583949,n21,Rwy,,,,
Rwy_03_004,22,45.589338,-122.581619,n22,Rwy,,,,
Rwy_03_005,23,45.587061,-122.575762,n23,Rwy,,,,
Rwy_03_006,24,45.584213,-122.568447,n24,Rwy,RW28R,Entry,RW10L,End
Txy_B1_001,25,45.595752,-122.620801,n25,Txy,,,,
Txy_B_001,26,45.596172,-122.620398,n26,Txy,,,,
Txy_B_002,27,45.596238,-122.619451,n27,Txy,,,,
Txy_B_003,28,45.595475,-122.617486,n28,Txy,,,,
Txy_B_004,29,45.593602,-122.612691,n29,Txy,,,,
Txy_B_005,30,45.593159,-122.611559,n30,Txy,,,,
Txy_B_006,31,45.59136,-122.606878,n31,Txy,,,,
Txy_B_007,32,45.590939,-122.606031,n32,Txy,,,,
Txy_B_008,33,45.589979,-122.604661,n33,Txy,,,,
Txy_B_009,34,45.589702,-122.604215,n34,Txy,,,,
Txy_B_010,35,45.588966,-122.602391,n35,Txy,,,,
Txy_B_011,36,45.587972,-122.599843,n36,Txy,,,,
Txy_B_012,37,45.586895,-122.597082,n37,Txy,,,,
Txy_B_013,38,45.58663,-122.596395,n38,Txy,,,,
Txy_B_014,39,45.584707,-122.591461,n39,Txy,,,,
Txy_B_015,40,45.582985,-122.587044,n40,Txy,,,,
Txy_B_016,41,45.581574,-122.583411,n41,Txy,,,,
Txy_A_001,42,45.594538,-122.598176,n42,Txy,,,,
Txy_A_E,43,45.594326,-122.597625,n43,Txy,,,,
Txy_A_003,44,45.59378,-122.596226,n44,Txy,,,,
Txy_A_004,45,45.592097,-122.591913,n45,Txy,,,,
Txy_A_005,46,45.591588,-122.590598,n46,Txy,,,,
Txy_A_006,47,45.590734,-122.588404,n47,Txy,,,,
Txy_A_007,48,45.5903,-122.587289,n48,Txy,,,,
Txy_A_008,49,45.589908,-122.586286,n49,Txy,,,,
Txy_A_009,50,45.588382,-122.582372,n50,Txy,,,,
Txy_A_010,51,45.586777,-122.578251,n51,Txy,,,,
Txy_A_011,52,45.5861,-122.576511,n52,Txy,,,,
Txy_A_012,53,45.585245,-122.57433,n53,Txy,,,,
Txy_A_013,54,45.583428,-122.569653,n54,Txy,,,,
Txy_A_014,55,45.583546,-122.568974,n55,Txy,,,,
Txy_C1_001,56,45.594419,-122.621848,n56,Txy,,,,
Txy_C_001,57,45.593577,-122.622506,n57,Txy,,,,
Txy_C_002,58,45.593078,-122.622216,n58,Txy,,,,
Txy_C_003,59,45.590001,-122.614325,n59,Txy,,,,
Txy_C_004,60,45.589812,-122.613535,n60,Txy,,,,
Txy_C_005,61,45.589782,-122.612529,n61,Txy,,,,
Txy_C_006,62,45.589665,-122.610676,n62,Txy,,,,
Txy_C_007,63,45.588969,-122.60884,n63,Txy,,,,
Txy_C_008,64,45.588287,-122.607088,n64,Txy,,,,
Txy_C_009,65,45.588073,-122.606547,n65,Txy,,,,
Txy_C_010,66,45.586345,-122.602103,n66,Txy,,,,
Txy_C_011,67,45.585708,-122.600469,n67,Txy,,,,
Txy_C_013,68,45.582784,-122.592963,n68,Txy,,,,
Txy_C_014,69,45.579613,-122.584814,n69,Txy,,,,
Gate_E_007,70,45.589605,-122.590231,n70,Gate,,,,
Gate_E_006,71,45.589766,-122.590659,n71,Gate,,,,
Gate_E_005,72,45.58999,-122.591082,n72,Gate,,,,
Gate_E_004,73,45.590165,-122.591615,n73,Gate,,,,
Gate_E_003,74,45.59033,-122.59228,n74,Gate,,,,
Gate_E_002,75,45.590743,-122.593167,n75,Gate,,,,
Gate_E_001,76,45.590892,-122.593575,n76,Gate,,,,
Gate_D_001,77,45.591076,-122.594118,n77,Gate,,,,
Gate_D_003,78,45.591313,-122.594832,n78,Gate,,,,
Gate_D_005,79,45.591555,-122.595228,n79,Gate,,,,
Gate_D_007,80,45.591817,-122.596105,n80,Gate,,,,
Gate_D_013,81,45.591539,-122.597028,n81,Gate,,,,
Gate_D_012,82,45.591188,-122.596695,n82,Gate,,,,
Gate_D_010,83,45.591094,-122.596256,n83,Gate,,,,
Gate_D_008,84,45.590716,-122.595359,n84,Gate,,,,
Gate_D_006,85,45.590555,-122.594984,n85,Gate,,,,
Gate_D_004,86,45.590316,-122.594246,n86,Gate,,,,
Gate_D_002,87,45.590103,-122.593788,n87,Gate,,,,
Gate_C_002,88,45.588752,-122.594852,n88,Gate,,,,
Gate_C_004,89,45.588936,-122.595396,n89,Gate,,,,
Gate_C_006,90,45.589129,-122.595872,n90,Gate,,,,
Gate_C_008,91,45.589352,-122.596439,n91,Gate,,,,
Gate_C_010,92,45.589522,-122.596934,n92,Gate,,,,
Gate_C_012,93,45.589716,-122.597428,n93,Gate,,,,
Gate_C_014,94,45.589921,-122.598009,n94,Gate,,,,
Gate_C_016,95,45.590161,-122.598442,n95,Gate,,,,
Gate_C_018,96,45.590318,-122.599035,n96,Gate,,,,
Gate_C_020,97,45.590506,-122.599476,n97,Gate,,,,
