n1.id,n1.index,n1.lat,n1.lon,n2.id,n2.index,n2.lat,n2.lon
Txy_P_014,209,39.1753679731,-76.6654996193,Txy_P1_001,147,39.174495289,-76.6660196826
Txy_P_013,148,39.1745288846,-76.6666122889,Txy_P1_001,147,39.174495289,-76.6660196826
Txy_V_001,100,39.1719300706,-76.6542334343,Txy_V_002,101,39.1718680768,-76.6529429286
Txy_E_005,86,39.1728035604,-76.6687066509,Rwy_01_007,90,39.1735269266,-76.6683562701
Txy_J_002,186,39.1858599967,-76.6646925395,Txy_J_003,195,39.185575691,-76.665198754
Ramp_04_018,375,39.1817430561,-76.6651877123,Gate_D_023,55,39.1811154454,-76.6646719358
Ramp_04_012,354,39.1799712657,-76.6640716109,Ramp_04_011,358,39.1798088561,-76.6643860242
Rwy_03_005,405,39.1762865463,-76.6532874207,Rwy_03_004,170,39.1794158433,-76.6561696791
Parking_GA_013,335,39.1839813887,-76.6551543052,Parking_GA_014,336,39.183673907,-76.6548663369
Txy_S_004,363,39.1759862749,-76.6547380455,Txy_S_0015,172,39.1758796293,-76.6540081778
Txy_F_002,109,39.177738879,-76.6762307521,Rwy_02_003,117,39.1779960569,-76.6751542874
Txy_A_011,285,39.177643077,-76.672027221,Txy_A_012,283,39.1773350936,-76.6717373384
Rwy_04_005,144,39.174124723,-76.6652729947,Rwy_04_006,145,39.1744379052,-76.6650111211
Ramp_deicing2_004,226,39.1759882373,-76.6596610015,Parking_deicing2_004,262,39.1754010994,-76.6597145058
Txy_C_008,250,39.1762621947,-76.6590984347,Txy_C_009,251,39.1760673747,-76.6585918542
Txy_K_002,180,39.1832818168,-76.6609510454,Txy_K_001,181,39.183081981,-76.660843112
Txy_N_004,373,39.1824219623,-76.6653086348,Txy_N_005,348,39.1821504118,-76.6657910408
Txy_C_008,250,39.1762621947,-76.6590984347,Ramp_deicing2_005,246,39.1757855452,-76.6591475239
Ramp_03_002,305,39.1779915791,-76.6687058172,Gate_B_005,20,39.1776270429,-76.6697370411
Rwy_02_004,125,39.1748530755,-76.6722474288,Txy_R_002,126,39.1749358793,-76.6711140516
Txy_P_008,115,39.1814008143,-76.6765729168,Txy_P_009,121,39.1789897808,-76.6743450281
Ramp_03_003,306,39.1778194442,-76.6685855781,Gate_B_007,19,39.1773062148,-76.6694945308
Txy_JJ_005,390,39.1847534042,-76.6691839671,Txy_JJ_004,389,39.1849766388,-76.6693928542
Txy_S_J,187,39.1859799984,-76.6644885294,Txy_S_N,190,39.1839432815,-76.6626192995
Txy_J_001,165,39.1867471026,-76.6641258031,Txy_S_J,187,39.1859799984,-76.6644885294
Ramp_03_008,311,39.1764874571,-76.6673345177,Ramp_03_007,310,39.1770796526,-76.6678348941
Rwy_04_003,139,39.171916597,-76.6671341969,Rwy_04_004,141,39.1726466655,-76.6665231072
Rwy_03_002,168,39.183978131,-76.6603988027,Txy_K_003,185,39.1835946973,-76.6609478835
Rwy_04_006,145,39.1744379052,-76.6650111211,Txy_U_001,146,39.1743827469,-76.6640199729
Txy_JJ_005,390,39.1847534042,-76.6691839671,Parking_JJ_004,387,39.1843384779,-76.6699301841
Ramp_05_006,351,39.1836060226,-76.6687806373,Gate_E_001,66,39.1829018293,-76.6682962543
Txy_Q_001,166,39.1877178832,-76.6627623387,Txy_Q_002,328,39.1874157699,-76.6622753412
Ramp_04_005,322,39.1779561378,-76.6654397955,Gate_D_012,43,39.1785759473,-76.6648793771
Txy_E_P,205,39.1746304627,-76.6683841769,Txy_E_A,207,39.1753085908,-76.6684089472
Txy_A_007,122,39.1793880519,-76.6736404492,Txy_F_A,124,39.179026738,-76.6733081343
Txy_R_001,82,39.1751439467,-76.6773238946,Txy_R_R1,81,39.1751060477,-76.6767655063
Ramp_deicing_004,270,39.1833883304,-76.6763063536,Ramp_deicing_005,271,39.1827907443,-76.6759046819
Ramp_03_003,306,39.1778194442,-76.6685855781,Ramp_03_002,305,39.1779915791,-76.6687058172
Ramp_04_004,321,39.1782755499,-76.6657358625,Gate_D_010,42,39.1788585316,-76.6651589561
Ramp_04_002,318,39.1791725789,-76.6665599203,Gate_C_001,36,39.178944631,-76.6675554809
Rwy_04_007,151,39.1772773568,-76.6626260878,Txy_C_001,214,39.1776401432,-76.6633850778
Ramp_Q_004,198,39.1840369859,-76.6587174463,Parking_GA_003,346,39.1845883812,-76.6577315698
Txy_S_0015,172,39.1758796293,-76.6540081778,Rwy_03_005,405,39.1762865463,-76.6532874207
Ramp_04_012,354,39.1799712657,-76.6640716109,Gate_D_007,49,39.180325482,-76.6647022121
Txy_C_007,249,39.1764680978,-76.6596172737,Txy_C_008,250,39.1762621947,-76.6590984347
Txy_N_003,193,39.1828478018,-76.6645531585,Txy_N_004,373,39.1824219623,-76.6653086348
Txy_JJ_006,376,39.1843822853,-76.668840426,Txy_JJ_005,390,39.1847534042,-76.6691839671
